,time,Skykight,InShade,NorthUp,Northdown,SouthUp,Southdown,TimeStep
358,2020/4/3 11:40,10,0,100,100,100,100,2.02004E+11
359,2020/4/3 11:50,10,0,100,100,100,100,2.02004E+11
360,2020/4/3 12:00,10,0,100,100,100,100,2.02004E+11
361,2020/4/3 12:10,10,0,100,100,100,100,2.02004E+11
362,2020/4/3 12:20,10,0,100,100,100,100,2.02004E+11
363,2020/4/3 12:30,10,0,100,100,100,100,2.02004E+11
364,2020/4/3 12:40,10,0,100,100,100,100,2.02004E+11
365,2020/4/3 12:50,10,0,100,100,100,100,2.02004E+11
366,2020/4/3 13:00,10,0,100,100,100,100,2.02004E+11
367,2020/4/3 13:10,10,0,100,100,100,100,2.02004E+11
368,2020/4/3 13:20,10,0,100,100,100,100,2.02004E+11
369,2020/4/3 13:30,10,0,100,100,100,100,2.02004E+11
370,2020/4/3 13:40,10,0,100,100,100,100,2.02004E+11
371,2020/4/3 13:50,10,0,100,100,100,100,2.02004E+11
372,2020/4/3 14:00,10,0,100,100,100,100,2.02004E+11
373,2020/4/3 14:10,10,0,100,100,100,100,2.02004E+11
374,2020/4/3 14:20,10,0,100,100,100,100,2.02004E+11
375,2020/4/3 14:30,10,0,100,100,100,100,2.02004E+11
376,2020/4/3 14:40,10,0,100,100,100,100,2.02004E+11
377,2020/4/3 14:50,10,0,100,100,100,100,2.02004E+11
378,2020/4/3 15:00,10,0,100,100,100,100,2.02004E+11
379,2020/4/3 15:10,10,0,100,100,100,100,2.02004E+11
380,2020/4/3 15:20,10,0,100,100,100,100,2.02004E+11
381,2020/4/3 15:30,10,0,100,100,100,100,2.02004E+11
382,2020/4/3 15:40,10,0,100,100,100,100,2.02004E+11
383,2020/4/3 15:50,10,0,100,100,100,100,2.02004E+11
384,2020/4/3 16:00,10,0,100,100,100,100,2.02004E+11
385,2020/4/3 16:10,10,0,100,100,100,100,2.02004E+11
386,2020/4/3 16:20,10,0,100,100,100,100,2.02004E+11
387,2020/4/3 16:30,10,0,100,100,100,100,2.02004E+11
388,2020/4/3 16:40,10,0,100,100,100,100,2.02004E+11
389,2020/4/3 16:50,10,0,100,100,100,100,2.02004E+11
390,2020/4/3 17:00,10,0,100,100,100,100,2.02004E+11
391,2020/4/3 17:10,10,0,0,20,100,100,2.02004E+11
392,2020/4/3 17:20,10,0,0,20,100,100,2.02004E+11
393,2020/4/3 17:30,10,0,0,20,100,100,2.02004E+11
394,2020/4/3 17:40,10,0,0,20,100,100,2.02004E+11
395,2020/4/3 17:50,10,0,0,20,100,100,2.02004E+11
396,2020/4/3 18:00,10,0,0,20,100,100,2.02004E+11
397,2020/4/3 18:10,10,0,0,20,100,100,2.02004E+11
398,2020/4/3 18:20,10,0,0,20,100,100,2.02004E+11
399,2020/4/3 18:30,10,0,0,20,100,100,2.02004E+11
400,2020/4/3 18:40,10,0,0,20,100,100,2.02004E+11
401,2020/4/3 18:50,10,0,0,20,100,100,2.02004E+11
402,2020/4/3 19:00,10,0,0,20,100,100,2.02004E+11
